"comid","do_stream_mg_l","doc_stream_mg_l","no3_stream_mg_l"
23100204,10.28656946,0.781818182,0.205331120798192
23100206,10.16500614,0.781818182,0.213556769521844
23100208,10.29556705,0.781818182,0.22101915009124
23100210,10.13627865,0.781818182,0.272442332291346
23100212,10.50531903,0.781818182,0.277427493599992
23100214,10.7196796,0.807224514,0.216568958369076
23100216,10.62830248,0.81915797,0.20867093158363
23100218,10.58254164,0.917127472,0.203891118875104
23100220,10.60798172,0.949301421,0.20105889583919
23100222,10.64634577,1.031242534,0.200874249504188
23100224,10.69539656,1.022965469,0.201701319295358
23100226,10.6900421,1.068374558,0.200623379189536
23100228,10.80651349,1.082050833,0.21036088072317
23100230,10.81561715,1.08250469,0.209842491976248
23100232,10.87201247,1.071675028,0.211674124464674
23100234,10.84556248,1.120762104,0.202840385383906
23100236,10.60248027,1.074557136,0.215133580003702
23100238,11.09848178,1.121315988,0.251291539911954
23100240,10.53849292,1.351010604,0.304493757462994
23100242,10.53849292,0.824753953,0.304493539578554
23100244,10.53824026,0.796760022,0.303539396754468
23100246,10.54700854,0.781818182,0.296276389262844
23100248,10.53179641,0.781818182,0.285302076435504
23100250,10.53112756,0.781818182,0.285133819085328
23100252,10.5591572,0.781818182,0.285010126587712
