"comid","logq_hz_lateral_m_div_s_fill"
23100846,-5.71983153478921
23100848,-6.21516882187553
23100850,-5.85729775426238
23100852,-8.43200016021729
23100854,-7.12551818230053
23100856,-7.00700759887695
23100858,-8.18893623352051
23100860,-6.45136494018525
23100862,-7.90308998699194
23100866,-8.21467016498923
23100868,-8.0268721464003
23100870,-6.81672286987305
23100872,-5.23941956503007
23100874,-7.01278077009199
23100876,-9.243727684021
23100878,-5.68668126450141
23100880,-8.27572413039921
23100882,-5.50361009753231
23100888,-6.82915179635669
23100892,-4.85587500306584
23100894,-4.98368132875201
23100896,-5.55333858904569
23100900,-4.72432914559422
23100902,-7.19997064075587
23100904,-8.02227639471115
23100906,-7.79136753082275
23100908,-5.10552885983421
