"comid","logRT_lateral_hz_s_fill"
23100102,4.59998256979848
23100104,4.76935558953545
23100106,4.89642855314559
23100108,4.78581687586782
23100110,5.1949994324326
23100112,4.75797413585227
23100114,4.65378288962465
23100116,4.03174825360369
23100118,4.22025763250108
23100120,4.40720370539811
23100122,3.89508883090631
23100124,3.80667340785828
23100126,4.52724061226936
23100128,4.93249095272811
23100130,5.46399062809867
23100132,5.56687619362975
23100134,5.05009128736563
23100136,4.88177436643504
23100138,4.99682934716334
23100140,4.75961474375084
23100142,3.64156666050556
23100144,5.42779339787594
23100146,5.49084920936882
23100148,5.97430022486366
23100150,5.59293408372779
23100152,4.5929353027544
23100154,5.05458691500356
23100156,4.28920743794044
23100158,5.27105350131698
23100160,4.83372510461178
23100162,5.82027998600833
23100164,7.09906768798828
23100166,4.12181795170257
23100168,5.15320040054491
23100170,5.21922013037118
23100172,4.49293256974443
23100174,4.72987904869572
23100176,4.70769619006866
23100178,4.1693000793457
23100180,4.422799056107
23100182,5.01170873107854
23100184,4.94699253006049
23100186,4.86658896991757
23100188,4.8029532417571
23100190,5.22577163219022
23100192,5.16117024531494
23100194,3.29638368514542
23100196,4.56864278946412
23100198,4.85548626332395
23100200,4.7778818903737
23100202,4.93805683400938
23100204,4.65744837986035
23100206,4.91936000765561
23100208,4.81412514694957
23100210,4.60452978812181
23100212,4.74960886427869
23100214,5.22554035080989
23100216,5.07695681210306
23100218,5.28121738831476
23100220,4.80190460577933
23100222,4.7099808420968
23100224,4.64670310081215
23100226,5.22471583463584
23100228,4.65201252165889
23100230,4.60723056634157
23100232,4.58490760562502
23100234,4.76370270396196
23100236,4.96689405277974
23100238,4.99312215049631
23100240,7.07992029190063
23100242,8.49880660693537
23100244,7.57205653173157
23100246,6.87527729156769
23100248,5.86887770560622
23100250,6.13123844126551
